location,latitude,longitude,duration_min,duration_label,aep_percent,intensity_mm_h,source_issued
Melbourne,-37.791,144.994,180,3 hr,50,8.33,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,180,3 hr,20,11.1,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,180,3 hr,10,13.3,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,180,3 hr,5,15.6,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,180,3 hr,2,19.0,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,180,3 hr,1,21.9,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,120,2 hr,50,10.9,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,120,2 hr,20,14.7,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,120,2 hr,10,17.6,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,120,2 hr,5,20.8,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,120,2 hr,2,25.4,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,120,2 hr,1,29.5,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,60,1 hr,50,17.3,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,60,1 hr,20,23.7,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,60,1 hr,10,28.6,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,60,1 hr,5,34.1,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,60,1 hr,2,42.1,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,60,1 hr,1,49.1,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,30,30 min,50,27.0,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,30,30 min,20,37.5,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,30,30 min,10,45.7,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,30,30 min,5,54.6,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,30,30 min,2,68.0,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,30,30 min,1,79.7,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,15,15 min,50,40.5,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,15,15 min,20,56.5,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,15,15 min,10,68.9,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,15,15 min,5,82.5,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,15,15 min,2,103.0,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,15,15 min,1,121.0,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,10,10 min,50,49.8,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,10,10 min,20,69.3,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,10,10 min,10,84.4,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,10,10 min,5,101.0,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,10,10 min,2,126.0,18-Jan-2021 workbook extract
Melbourne,-37.791,144.994,10,10 min,1,147.0,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,180,3 hr,50,7.28,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,180,3 hr,20,10.0,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,180,3 hr,10,12.1,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,180,3 hr,5,14.3,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,180,3 hr,2,17.6,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,180,3 hr,1,20.3,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,120,2 hr,50,9.47,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,120,2 hr,20,13.1,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,120,2 hr,10,15.9,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,120,2 hr,5,18.8,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,120,2 hr,2,23.2,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,120,2 hr,1,27.0,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,60,1 hr,50,14.8,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,60,1 hr,20,20.6,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,60,1 hr,10,25.0,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,60,1 hr,5,29.8,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,60,1 hr,2,36.8,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,60,1 hr,1,42.8,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,30,30 min,50,22.9,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,30,30 min,20,31.9,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,30,30 min,10,38.8,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,30,30 min,5,46.1,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,30,30 min,2,56.9,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,30,30 min,1,66.1,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,15,15 min,50,34.5,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,15,15 min,20,48.0,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,15,15 min,10,58.3,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,15,15 min,5,69.2,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,15,15 min,2,85.2,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,15,15 min,1,98.7,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,10,10 min,50,42.8,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,10,10 min,20,59.7,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,10,10 min,10,72.4,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,10,10 min,5,86.0,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,10,10 min,2,106.0,18-Jan-2021 workbook extract
Adelaide (St Marys),-35.013,138.587,10,10 min,1,123.0,18-Jan-2021 workbook extract
